id,title,description,classification
189,Your private content may be accessed by people working for the service,,neutral
194,The service does not index or open files that you upload,,good
190,Your personal data is aggregated into statistics,"Your personal data is used for statistics in a de-identified/aggregated form (i.e. not directly linked to a unique identity) to analyse trends, for research and for analytics.",neutral
279,This service assumes no responsibility and liability for the contents of links to other websites,The service rejects any responsibility for the contents of other websites to which it links.,neutral
207,Third parties are involved in operating the service,,neutral
210,Third parties used by the service are bound by confidentiality obligations,The Third Parties accessing your personal information must keep it confidential and only use it for limited purposes.,good
289,The service does not guarantee that software errors will be corrected,Users agree to use the service and its software as provided and accept that any errors within that software may not be corrected.,bad
183,You maintain ownership of your content,"This service does not claim ownership over user-generated content or materials, and the user doesn't need to waive any moral rights by posting owned content.",good
309,You have the right to request lower Charges from Third Party Providers,"For a service that allows you to buy goods or services from a third party (for instance, an e-commerce platform), the service allows buyers to request a lower price from the seller.",neutral
301,The service reviews its privacy policy on a regular basis,Users know the date the privacy policy was last updated and can thus infer the next time it will be reviewed. This gives users more certainty about how long they can trust the current policy to apply.,good
197,Archives of their agreements are provided so that changes can be viewed over time,"This case applies to Services whose agreements provide previous versions, so that users can compare them and understand how the Service seems to evolve regarding user rights.",good
288,The service does not guarantee accuracy or reliability of the information provided,This service makes no warranty regarding the accuracy or reliability of any information that is given on its website or the results that may be obtained from the use of the service.,neutral
299,The service informs you that its privacy policy does not apply to third party websites,"The service states that whenever it links to third party websites or applications, its privacy policy does not apply. Those third party websites or applications hosted or operated by other organizations may have their own privacy policies.",neutral
286,The service is provided 'as is' and to be used at your sole risk,"This service does not provide any guarantees as to its usability or fitness for the users' purposes. Users agree to use it at their own risk, accepting any possible bugs, malfunctions or harm to their devices.",neutral
292,This service does not condone any ideas contained in its user-generated contents,,neutral
295,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,"Even if the service does not or not always enforce all of the rules or provisions contained in its terms, they still apply. Users can at a later time still be held accountable for violating provisions that have not been enforced consistently.",neutral
385,Tracking cookies refused will not limit your ability to use the service,Blocking tracking technologies will not negatively impact your use of the service.,good
144,"Other applicable rules, terms, conditions or guidelines","Use of the service is subject also to an exhaustive list of other documents containing rules, guidelines, terms or policies (in addition to the obvious Terms of Service/Terms of Use and Privacy Policy/Data Use Policy)",neutral
297,Information is provided about how they collect personal data,The service details situations in which they collect personal information or means by which they do.,good
180,This service can use your content for all their existing and future services,,neutral
303,The data retention period is kept to the minimum necessary for fulfilling its purposes,"The service will remove personal data from its systems once it is no longer required. Depending on the type of information and the reason it was collected, data retention periods will vary.",good
306, A list of all cookies set by the website is provided,The service provides users with a complete list of all first and third party cookies its website sets and an explanation of their uses. This information can be valuable for users to make an informed choice whether to allow those cookies.,good
128,Third-party cookies are used for advertising,The service's website sets third-party cookies (cookies that do not belong to their domain) for purposes not including statistics and analytics.,bad
291,"You are responsible for any risks, damages, or losses that may incur by downloading materials",Users are responsible for any harm to their computer system or loss of data they may incur through the download of materials from the service.,neutral
298,You can access most of the pages on the service's website without revealing any personal information,"The service does not require users to reveal personal information for most of its website. However, it may still collect anonymous logs.",good
305,The service will resist legal requests for your information where reasonably possible,"The service will attempt to protect user information to a great extent, even so far as stating that they will only follow legal requirements to disclose user information in circumstances where this cannot be reasonably resisted.",good
304,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period","The data retention period states how long a service keeps user data. In this case, the service may anonymize the personal data after its retention period is over and use it for analytical or research purposes.",bad
296,Your information is only shared with third parties when given specific consent,The service does not share user information with any third parties unless users specifically give it permission to do so.,good
217,Tracking pixels are used in service-to-user communication,"The service tracks the user count or some actions of the user; this is usually used for statistics. For example, emails sent by a service can contain a pixel tag, which is a small, clear image that can tell them whether or not you have opened an email and what your IP address is.",bad
131,Content is published under a free license instead of a bilateral one,"User-generated content, such as posts or comments, is published under a free license, meaning other users can reuse it (e.g. Creative Commons license).",good
221,The service deletes tracking data after a period of time and allows you to opt out,,good
315,The posting of pornographic content is prohibited,"Users are not allowed to post any content of pornographic nature. This includes adult content, things that are sexually explicit, or obscene.",neutral
319,Users who have been permanently banned from this service are not allowed to re-register under a new account,"Once users have been permanently banned from this service, they are not allowed to create a new account to keep using the service.",neutral
337,You can opt out of providing personal information to third parties,The Service provides opt-out instructions to the share of (some) personal information with third parties.,good
219,You can opt out of targeted advertising,"The service employs your data to target ads to you, but you can opt-out of this interest-based advertising.",good
320,No need to register,This service can be used without providing a user profile.,good
311,Your personal data is not shared with third parties,Information collected from users by this service is not given to third parties.,good
325,Third-party cookies are used for statistics,"For instance, Google Analytics, rather than self-hosted (first-party) statistics software.",bad
331,There is a date of the last update of the agreements,The given text has a date that allows to know when it was last updated.,neutral
335,You aren’t forced into binding arbitration in case of disputes,"Binding Arbitration is a dispute resolution method involving a neutral third party which will render a decision instead of going to court. Since the arbitrator can decide the outgoing of a dispute without evidences or a legal basis, it is preferable that users decide whether they want or not their dispute to be resolved this way.",good
312,Two factor authentication is provided for your account,"The service provides means of further securing your account with two factor authentification, thus greatly improving account security.",good
317,You aren’t allowed to publicly post private messages,The service does not allow users to publicly post private messages they have received from other users.,good
327,Your identity is used in ads that are shown to other users,"Ads shown to other users may include a reference to you as an implied endorsement.
Might give away information about your own personal lifestyle to strangers.",blocker
316,Political discussions or campaining are prohibited,"Political content in the form or pictures, discussions, or campaigning isn't allowed.",neutral
172,You cannot delete your account of this service,"There is no way of deleting your account, which implies that data might be stored forever.",blocker
326,Your profile is combined across various products,"When using multiple services from one same company, they can combine these (unrelated) information sources about you to build up a single richer user profile about you.",bad
314,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Users are not allowed to post extremist political or religious content. They are also not allowed to post content that glorifies violence.,neutral
336,Your personal data may be used for marketing purposes,"The service may use your personal data for marketing, such as sending you personalised offerings.",bad
330,The service disables software that you are not licensed to use.,The service disables software that you are not licensed to use.,bad
140,You can retrieve an archive of your data,Users can request a copy of the data collected through the services and infer from it the amount of personal information that is processed and stored by the Service. This usually applies to Services GDPR compliants.,good
283,"You agree not to submit libelous, harassing or threatening content","This service prohibits users from submitting content of a variety of types. This can include content that is unlawful, harassing, abusive, threatening, libelous, sexist, racist, homophobic, transphobic, or discriminatory in any other way.",neutral
334,The service explains how to prevent disclosure of personal information to third parties,,good
329,"You should revisit the terms periodically, although in case of material changes, the service will notify","The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified.",neutral
399,"Your IP address is collected, which can be used to view your approximate location",,neutral
389,"You can scrape the site, as long as it doesn't impact the server too much",Automated web scraping is a method of extracting information from a website. The service authorises scraping if it doesn't impact its server(s) too much.,good
378,Service fines users for Terms of Service violations,Service fines users for violating provisions in the Terms of Service,bad
387,This service tracks which web page referred you to it,The service logs the URL of the last web page you visited before visiting the Site and may use that information to gather more data about you.,bad
209,You are warned of the potential consequences related to third-party access,"This is different from disclaiming liability for external links, which is handled by the ""This service assumes no responsibility and liability for the contents of links to other websites"" case.",good
394,"You cannot delete your contributions, but it makes sense for this service",For services that are under an open license where your contributions are for public knowledge (such as Wikipedia and ToS;DR).,neutral
135,Copyright license limited for the purposes of that same service but transferable and sublicenseable,,good
339,You are forced into binding arbitration in case of disputes,This service forces users to use their own contracted arbitrator and forces users to waive their rights to jury trial.,bad
388,You are allowed to quote their content with attribution,,neutral
384,You authorise the service to charge a credit card supplied on re-occurring basis,"You card will be billed on recurring basis unless cancelled. For instance, monthly or annual subscriptions.",neutral
381,No third-party analytics or tracking platforms are used,There are no Google Analytics or other tracking codes embedded in the service.  Any tracking is performed by the service itself.,good
391,You will be notified if personal data has been affected by data breaches,"Should the personal information of a service be compromised, the service will inform users if any personal data has been affected by data breaches. This case is also related to privacy.",good
376,Many different types of personal data are collected,"The service collects different kinds of personal data, such as name, demographic information, postal address, biometric data, device information, IDs, contacts, call logs...",bad
218,You are not being tracked,"The document excerpt needs to include the words ""[the service] does not track [users]"" or ""[the service] does not use any tracking technology"".",good
372,"User-generated content is encrypted, and this service cannot decrypt it","Content generated by the users is end-to-end encrypted, in a way that it can't be accessed by anyone unauthorised, and even the service has no technical means to decrypt it.",good
307, You are being tracked via social media cookies/pixels,These types of cookies/pixels send information to social media sites when you interact with the service.,bad
382,Information is gathered about you through third parties,"This Service may employ, either identifiable or non-identifiable, data collection from third party sources about you.",bad
393,The service will only respond to government requests that are reasonable, The Agreement explains they will disclose personal data about you if it is reasonably necessary to comply with applicable law and government requests.,good
234,They store data on you even if you did not interact with the service,"Some services store data on you even if you did not provide that data yourself. For example, users might provide access to their address book, after which a service might also store the phone numbers of that person's contacts.",blocker
400,This service receives your precise location through GPS coordinates,"Unless the service relies on Geo Location, this case is to be assigned to points that don't need your GPS coordinates to function properly.",bad
375,Blocking first party cookies may limit your ability to use the service,"Most browsers allow users to set preferences related to cookies storage. You may choose to block all cookies (including first-party cookies), but it may impact your use of this service and you may not be able to access some or any of the features provided.",neutral
398,This service has a no refund policy with some exceptions,Payments can be refunded if some requirements are fulfilled.,neutral
397,Your biometric data is collected,"This service can collect or use your biometric data. This includes but is not limited to facial recognition, fingerprints, and iris scans. Although this feature can sometimes be convenient to the user, providing this type of information to the service could open your personal data to being sold or stolen.",bad
402,The service has non-exclusive use of your content,The service can pay for your content and you are allowed to make it commercially available to other services/parties. ,good
321,Promises will be kept after a merger or acquisition,"If the service gets acquired or needs to transfer personal data after a merger, bankruptcy, reorganisation or sale of the services, the data will still be processed in a manner that honours the promises made in the agreements.",good
403,"Instead of asking directly, this Service will assume your consent merely from your usage.","The Service infers your acceptance from your continued usage, instead of prompting you to read the Terms and asking for direct consent.",bad
404,This Service provides a list of Third Parties involved in its operation.,"The Service provides a list detailing the third parties involved, their roles, and may even provide more information.",good
302,Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,"The service has arrangements in place to ensure that users' personal information, if shared with an entity outside of the service's jurisdiction, is processed to the same standards that apply to the processing of personal data in the service's jurisdiction.",good
310,"If you are the target of a copyright claim, your content may be removed",The content you have published on the service may be removed if it infringes copyright.,neutral
405,An anonymous payment method is offered,"Some services allow payments via cryptocurrencies, so that users don’t need to reveal their identity to payment processors.",good
300,A complaint mechanism is provided for the handling of personal data,The service provides users with contact information for an internal or external structure to lodge complaints. It also provides users with contact information for a higher data protection / privacy office in case the internal mechanism fails to satisfy the user.,good
313,User accounts can be terminated after having been in breach of the terms of service repeatedly,"User accounts can be terminated for having been in breach of the terms of service repeatedly, meaning they cannot be terminated without a reason, but only for a limited number of reasons. Additionally, user accounts will not be deleted after a first infringement.",good
203,They may stop providing the service at any time,"They may discontinue the services without prior notice, at any time, for any or no reason. They usually assume no liability for losses and damages resulting from this suspension.",neutral
396,Your Personal data may be sold unless you opt out,There is a form to opt-out (typically California's CCPA) of the selling of your personal data. This is a bad a point because there are many services that don't have this form due to not selling your data in the first place.,bad
125,Only temporary session cookies are used,Temporary session cookies are cookies that are deleted when you close your browser instead of remaining there until they are manually deleted (or expire). These cookies are only used for the purposes of the service and therefore disappear when it's no longer used.,good
