id,title,description,classification
120,Critical changes to the terms are made without user involvement,"They may significantly update the terms at any time and at their sole discretion, meaning for any reason and without necessarily taking into account the interests or suggestions of the users of the Service. ",neutral
406,An onion site accessible over Tor is provided,Tor is a software for anonymous communication that directs Internet traffic through an overlay network. Onion sites are only available through Tor browser and provide additional security and anonymity to users.,good
121," Terms may be changed any time at their discretion, without notice to you ","The Agreements can be updated at any time, including in a way that negatively affects user rights, without notifying before or after the changes.",bad
124,"When the service wants to make a material change to its terms, you are notified at least 30 days in advance","The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified at least 30 days in advance.",good
392,"This service does not collect, use, or share location data","No location-based information is tracked by the service, so that it cannot be used or shared with third parties.
",good
390,"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner","The service may employ a broad copyright license over feedback, proposals, ideas and suggestions submitted, including the right to use them without restriction, compensation or obligation to the user, but they do not claim ownership on them.",good
373,"This service may collect, use, and share location data",Location-based information is collected and may be used and/or shared with third parties for purposes not directly related to the services provided (i.e. the Service doesn't rely on the use or share of location data to function properly).,bad
163,The court of law governing the terms is in location X,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",neutral
241,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,The Terms are governed by the applicable laws of a jurisdiction known for protecting citizens privacy with strong data regulations. Usually contributors will need to explain in the Analysis view of each point linked to this Case why the jurisdiction is friendly to user privacy protection.,good
242,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,The Terms are governed by the applicable laws of a jurisdiction known for weak data regulations and poor user privacy protection. Usually contributors will need to explain in the Analysis view of each point linked to this Case the reason why it shall be applied.,bad
223,You can opt out of promotional communications,You can update your account preferences and/or easily unsubscribe of email/sms lists to stop receiving promotional communications.,good
196,Your personal data is used for limited purposes,"Your Personal Data is only used for the essential purposes of the Service, which are clearly defined on the Agreements. For instance, the Service won't abuse your data to deliver targeted advertisements to you or for marketing purposes.",good
377,Your content can be deleted if you violate the terms,"Content infringing the Terms of Service (or the Acceptable Use Policy or equivalent)  may be removed, with or without notice.",neutral
185,Your personal information is used for many different purposes,"Personal Data can be processed for many reasons, including non essential processing such as for advertising, marketing and analytics purposes.",bad
206,30 days of notice are given before closing your account,"The Terms explain they will notify users at least 30 days before closing their accounts, which allows users to limit the losses and damages caused by this termination.",good
165,The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,"In case the Government governing the Terms requests personal data of a user of this service, they will make reasonable efforts to inform/notify the user (e.g. warrant canary).",good
486,Minors must have the authorization of their legal guardians to use the service,Minors must have the authorization of their legal guardians to use the services. The legal guardians are responsible for the use of the service by the minor.,neutral
